customer_id,customer_name,email,city,signup_date
1,Customer_1,customer1@email.com,Pune,2023-01-01
2,Customer_2,customer2@email.com,Chennai,2023-01-02
3,Customer_3,customer3@email.com,Bangalore,2023-01-03
4,Customer_4,customer4@email.com,Chennai,2023-01-04
5,Customer_5,customer5@email.com,Chennai,2023-01-05
6,Customer_6,customer6@email.com,Delhi,2023-01-06
7,Customer_7,customer7@email.com,Bangalore,2023-01-07
8,Customer_8,customer8@email.com,Bangalore,2023-01-08
9,Customer_9,customer9@email.com,Bangalore,2023-01-09
10,Customer_10,customer10@email.com,Chennai,2023-01-10
11,Customer_11,customer11@email.com,Pune,2023-01-11
12,Customer_12,customer12@email.com,Bangalore,2023-01-12
13,Customer_13,customer13@email.com,Chennai,2023-01-13
14,Customer_14,customer14@email.com,Delhi,2023-01-14
15,Customer_15,customer15@email.com,Pune,2023-01-15
16,Customer_16,customer16@email.com,Delhi,2023-01-16
17,Customer_17,customer17@email.com,Pune,2023-01-17
18,Customer_18,customer18@email.com,Chennai,2023-01-18
19,Customer_19,customer19@email.com,Mumbai,2023-01-19
20,Customer_20,customer20@email.com,Pune,2023-01-20
21,Customer_21,customer21@email.com,Delhi,2023-01-21
22,Customer_22,customer22@email.com,Chennai,2023-01-22
23,Customer_23,customer23@email.com,Pune,2023-01-23
24,Customer_24,customer24@email.com,Mumbai,2023-01-24
25,Customer_25,customer25@email.com,Mumbai,2023-01-25
26,Customer_26,customer26@email.com,Bangalore,2023-01-26
27,Customer_27,customer27@email.com,Bangalore,2023-01-27
28,Customer_28,customer28@email.com,Delhi,2023-01-28
29,Customer_29,customer29@email.com,Pune,2023-01-29
30,Customer_30,customer30@email.com,Pune,2023-01-30
31,Customer_31,customer31@email.com,Bangalore,2023-01-31
32,Customer_32,customer32@email.com,Pune,2023-02-01
33,Customer_33,customer33@email.com,Pune,2023-02-02
34,Customer_34,customer34@email.com,Mumbai,2023-02-03
35,Customer_35,customer35@email.com,Bangalore,2023-02-04
36,Customer_36,customer36@email.com,Chennai,2023-02-05
37,Customer_37,customer37@email.com,Bangalore,2023-02-06
38,Customer_38,customer38@email.com,Chennai,2023-02-07
39,Customer_39,customer39@email.com,Mumbai,2023-02-08
40,Customer_40,customer40@email.com,Delhi,2023-02-09
41,Customer_41,customer41@email.com,Pune,2023-02-10
42,Customer_42,customer42@email.com,Mumbai,2023-02-11
43,Customer_43,customer43@email.com,Pune,2023-02-12
44,Customer_44,customer44@email.com,Delhi,2023-02-13
45,Customer_45,customer45@email.com,Delhi,2023-02-14
46,Customer_46,customer46@email.com,Mumbai,2023-02-15
47,Customer_47,customer47@email.com,Delhi,2023-02-16
48,Customer_48,customer48@email.com,Chennai,2023-02-17
49,Customer_49,customer49@email.com,Delhi,2023-02-18
50,Customer_50,customer50@email.com,Pune,2023-02-19
51,Customer_51,customer51@email.com,Pune,2023-02-20
52,Customer_52,customer52@email.com,Pune,2023-02-21
53,Customer_53,customer53@email.com,Pune,2023-02-22
54,Customer_54,customer54@email.com,Chennai,2023-02-23
55,Customer_55,customer55@email.com,Bangalore,2023-02-24
56,Customer_56,customer56@email.com,Mumbai,2023-02-25
57,Customer_57,customer57@email.com,Pune,2023-02-26
58,Customer_58,customer58@email.com,Delhi,2023-02-27
59,Customer_59,customer59@email.com,Pune,2023-02-28
60,Customer_60,customer60@email.com,Delhi,2023-03-01
